company_name,website,technology,country,founded,description,source_repo,source_file,source_downloaded_at
d-Matrix,d-matrix.ai,AI,US,2019,Computing platform for data center AI inference,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
DASH Tech IC,dashtechic.com,HPC,US,2021,Flexible processors for embedded applications,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
DeGirum,degirum.ai,AI,US,2017,AI platform for edge applications,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Dfiant,dfiant.works,EDA,US,2022,Chip design tools,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Diode Computers,diode.computer,EDA,US,2024,AI based PCB design,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
DreamBig,dreambigsemi.com,CHIPLETS,US,2019,Chiplet based ASIC platform,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
EdgeCortix,edgecortix.com,AI,US,2019,AI accelerators for edge devices,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Efficient Computer,efficient.computer,HPC,US,2022,Energy efficient general-purpose processor,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Efinix,efinixinc.com,FPGA,US,2012,Programmable FPGA products,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Eliyan,eliyan.com,CHIPLETS,US,2021,Interconnect technology,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
EnCharge AI,enchargeai.com,AI,US,2021,AI processing platform,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
enzzo,enzzo.ai,EDA,US,2024,AI driven hardware development,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Etched,etched.com,AI,US,2022,AI processors,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Evacorp,evacorp.ai,AI,US,2023,AI processing,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Everactive,everactive.com,SENSORS,US,2012,Battery-less IoT sensing technology,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Exa Laboratories,exalaboratories.com,AI,US,2024,Reconfigurable chips for AI,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Extropic,extropic.ai,AI,US,2022,Physics based generative AI,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
